gm1,gm3_a0,gm3_0a,gm5_a00,gm5_0a0,gm5_00a,frequency
0,-0.005,0.0,-0.0024,0.0,-0.01,0.0,7909.790146874
1,-0.005,0.0,-0.0024,0.0,-0.01,0.01,7619.874234355882
2,-0.005,0.0,-0.0024,0.0,-0.01,-0.01,7619.800560177962
3,-0.005,0.0,-0.0024,0.0,0.0,-0.01,7620.930328243599
4,-0.005,0.0,-0.0024,0.0,0.0,0.0,7888.340652301562
5,-0.005,0.0,-0.0024,0.0,0.0,0.01,7620.897678849009
6,-0.005,0.0,-0.0024,0.0,0.01,0.0,7909.740520105284
7,-0.005,0.0,-0.0024,0.0,0.01,0.01,7619.904262795969
8,-0.005,0.0,-0.0024,0.0,0.01,-0.01,7619.784498556129
9,-0.005,0.0,-0.0024,0.01,0.0,-0.01,7443.964032128099
10,-0.005,0.0,-0.0024,0.01,0.0,0.0,7703.221472928005
11,-0.005,0.0,-0.0024,0.01,0.0,0.01,7443.8881073208995
12,-0.005,0.0,-0.0024,0.01,0.01,0.0,7712.611822461529
13,-0.005,0.0,-0.0024,0.01,0.01,0.01,7388.1554411844
14,-0.005,0.0,-0.0024,0.01,0.01,-0.01,7503.054370549928
15,-0.005,0.0,-0.0024,0.01,-0.01,0.0,7712.632372700837
16,-0.005,0.0,-0.0024,0.01,-0.01,0.01,7502.996681625599
17,-0.005,0.0,-0.0024,0.01,-0.01,-0.01,7388.190854431397
18,-0.005,0.0,-0.0024,-0.01,0.0,-0.01,7444.238917680008
19,-0.005,0.0,-0.0024,-0.01,0.0,0.0,7703.51093450461
20,-0.005,0.0,-0.0024,-0.01,0.0,0.01,7444.1436648614
21,-0.005,0.0,-0.0024,-0.01,0.01,0.0,7712.891448578762
22,-0.005,0.0,-0.0024,-0.01,0.01,0.01,7503.231423228025
23,-0.005,0.0,-0.0024,-0.01,0.01,-0.01,7388.462129594896
24,-0.005,0.0,-0.0024,-0.01,-0.01,0.0,7712.88126110612
25,-0.005,0.0,-0.0024,-0.01,-0.01,0.01,7388.3373217718445
26,-0.005,0.0,-0.0024,-0.01,-0.01,-0.01,7503.329132254081
27,-0.005,0.0,0.0,-0.01,0.0,-0.01,9595.0059027182
28,-0.005,0.0,0.0,-0.01,0.0,0.0,9952.20943529912
29,-0.005,0.0,0.0,-0.01,0.0,0.01,9594.519077011457
30,-0.005,0.0,0.0,-0.01,0.01,0.0,9595.684540729226
31,-0.005,0.0,0.0,-0.01,0.01,0.01,9897.001392538275
32,-0.005,0.0,0.0,-0.01,0.01,-0.01,9094.850574689477
33,-0.005,0.0,0.0,-0.01,-0.01,0.0,9595.211999253408
34,-0.005,0.0,0.0,-0.01,-0.01,0.01,9094.9980125546
35,-0.005,0.0,0.0,-0.01,-0.01,-0.01,9897.277760113968
36,-0.005,0.0,0.0,0.0,-0.01,0.0,9953.306035790049
37,-0.005,0.0,0.0,0.0,-0.01,0.01,9595.527221524644
38,-0.005,0.0,0.0,0.0,-0.01,-0.01,9595.226888442441
39,-0.005,0.0,0.0,0.0,0.0,-0.01,9951.674525286402
40,-0.005,0.0,0.0,0.0,0.0,0.0,10773.009683472099
41,-0.005,0.0,0.0,0.0,0.0,0.01,9950.64524803224
42,-0.005,0.0,0.0,0.0,0.01,0.0,9953.456084806081
43,-0.005,0.0,0.0,0.0,0.01,0.01,9595.679642851599
44,-0.005,0.0,0.0,0.0,0.01,-0.01,9596.065795359122
45,-0.005,0.0,0.0,0.01,0.0,-0.01,9595.017069488966
46,-0.005,0.0,0.0,0.01,0.0,0.0,9951.15559051944
47,-0.005,0.0,0.0,0.01,0.0,0.01,9594.67051080732
48,-0.005,0.0,0.0,0.01,0.01,0.0,9595.789747442403
49,-0.005,0.0,0.0,0.01,0.01,0.01,9093.508239372544
50,-0.005,0.0,0.0,0.01,0.01,-0.01,9896.635892894568
51,-0.005,0.0,0.0,0.01,-0.01,0.0,9596.5005445929
52,-0.005,0.0,0.0,0.01,-0.01,0.01,9896.628730203602
53,-0.005,0.0,0.0,0.01,-0.01,-0.01,9093.889873648322
54,-0.005,0.0,0.0024,0.0,-0.01,0.0,7617.4126272840995
55,-0.005,0.0,0.0024,0.0,-0.01,0.01,7619.292706873601
56,-0.005,0.0,0.0024,0.0,-0.01,-0.01,7619.304927276899
57,-0.005,0.0,0.0024,0.0,0.0,-0.01,7907.290681010705
58,-0.005,0.0,0.0024,0.0,0.0,0.0,7888.712441843775
59,-0.005,0.0,0.0024,0.0,0.0,0.01,7907.285701326401
60,-0.005,0.0,0.0024,0.0,0.01,0.0,7617.475118309904
61,-0.005,0.0,0.0024,0.0,0.01,0.01,7619.43778115088
62,-0.005,0.0,0.0024,0.0,0.01,-0.01,7619.49120235181
63,-0.005,0.0,0.0024,0.01,0.0,-0.01,7712.182908331225
64,-0.005,0.0,0.0024,0.01,0.0,0.0,7705.808564080226
65,-0.005,0.0,0.0024,0.01,0.0,0.01,7712.173950792256
66,-0.005,0.0,0.0024,0.01,0.01,0.0,7443.6147812209965
67,-0.005,0.0,0.0024,0.01,0.01,0.01,7387.8423986484795
68,-0.005,0.0,0.0024,0.01,0.01,-0.01,7502.758998667023
69,-0.005,0.0,0.0024,0.01,-0.01,0.0,7443.513147985209
70,-0.005,0.0,0.0024,0.01,-0.01,0.01,7502.613480346384
71,-0.005,0.0,0.0024,0.01,-0.01,-0.01,7387.75335206568
72,-0.005,0.0,0.0024,-0.01,0.0,-0.01,7712.212942470435
73,-0.005,0.0,0.0024,-0.01,0.0,0.0,7705.803648247849
74,-0.005,0.0,0.0024,-0.01,0.0,0.01,7712.200647786496
75,-0.005,0.0,0.0024,-0.01,0.01,0.0,7443.6701707638495
76,-0.005,0.0,0.0024,-0.01,0.01,0.01,7502.7758026592255
77,-0.005,0.0,0.0024,-0.01,0.01,-0.01,7387.935399610001
78,-0.005,0.0,0.0024,-0.01,-0.01,0.0,7443.51935984389
79,-0.005,0.0,0.0024,-0.01,-0.01,0.01,7387.738052610305
80,-0.005,0.0,0.0024,-0.01,-0.01,-0.01,7502.638426243984
81,-0.005,0.01,0.0,-0.01,0.0,-0.01,-3843.267814869025
82,-0.005,0.01,0.0,-0.01,0.0,0.0,-3709.811629017729
83,-0.005,0.01,0.0,-0.01,0.0,0.01,-3843.3553510296015
84,-0.005,0.01,0.0,-0.01,0.01,0.0,-3843.321625931841
85,-0.005,0.01,0.0,-0.01,0.01,0.01,-3965.7245500520007
86,-0.005,0.01,0.0,-0.01,0.01,-0.01,-3975.6966983718758
87,-0.005,0.01,0.0,-0.01,-0.01,0.0,-3843.3025316406247
88,-0.005,0.01,0.0,-0.01,-0.01,0.01,-3975.1810666273686
89,-0.005,0.01,0.0,-0.01,-0.01,-0.01,-3965.6970934359615
90,-0.005,0.01,0.0,0.0,-0.01,0.0,-3858.3594411016356
91,-0.005,0.01,0.0,0.0,-0.01,0.01,-3987.265893329601
92,-0.005,0.01,0.0,0.0,-0.01,-0.01,-3987.8059259519287
93,-0.005,0.01,0.0,0.0,0.0,-0.01,-3858.816998868129
94,-0.005,0.01,0.0,0.0,0.0,0.0,-3727.062573406929
95,-0.005,0.01,0.0,0.0,0.0,0.01,-3859.055416719616
96,-0.005,0.01,0.0,0.0,0.01,0.0,-3858.3727338716008
97,-0.005,0.01,0.0,0.0,0.01,0.01,-3987.2809218064
98,-0.005,0.01,0.0,0.0,0.01,-0.01,-3987.2340684134006
99,-0.005,0.01,0.0,0.01,0.0,-0.01,-3843.260623557369
100,-0.005,0.01,0.0,0.01,0.0,0.0,-3709.908595542361
101,-0.005,0.01,0.0,0.01,0.0,0.01,-3843.3606825843362
102,-0.005,0.01,0.0,0.01,0.01,0.0,-3843.3304291599998
103,-0.005,0.01,0.0,0.01,0.01,0.01,-3975.1886325154096
104,-0.005,0.01,0.0,0.01,0.01,-0.01,-3965.681475953649
105,-0.005,0.01,0.0,0.01,-0.01,0.0,-3843.3015397306885
106,-0.005,0.01,0.0,0.01,-0.01,0.01,-3965.718882394116
107,-0.005,0.01,0.0,0.01,-0.01,-0.01,-3975.7046430697214
108,-0.005,0.01,0.0024,0.0,-0.01,0.0,-3918.134025
109,-0.005,0.01,0.0024,0.0,-0.01,0.01,-4045.251038834944
110,-0.005,0.01,0.0024,0.0,-0.01,-0.01,-4045.024109054016
111,-0.005,0.01,0.0024,0.0,0.0,-0.01,-3911.780581204441
112,-0.005,0.01,0.0024,0.0,0.0,0.0,-3784.909358294689
113,-0.005,0.01,0.0024,0.0,0.0,0.01,-3911.8497554275236
114,-0.005,0.01,0.0024,0.0,0.01,0.0,-3918.1511760487692
115,-0.005,0.01,0.0024,0.0,0.01,0.01,-4045.264776940816
116,-0.005,0.01,0.0024,0.0,0.01,-0.01,-4045.0392459881286
117,-0.005,0.01,0.0024,0.01,0.0,-0.01,-3896.5118268261162
118,-0.005,0.01,0.0024,0.01,0.0,0.0,-3768.1169973001
119,-0.005,0.01,0.0024,0.01,0.0,0.01,-3896.5710031504
120,-0.005,0.01,0.0024,0.01,0.01,0.0,-3905.2623124416036
121,-0.005,0.01,0.0024,0.01,0.01,0.01,-4033.072112899729
122,-0.005,0.01,0.0024,0.01,0.01,-0.01,-4023.483768697969
123,-0.005,0.01,0.0024,0.01,-0.01,0.0,-3905.234066064384
124,-0.005,0.01,0.0024,0.01,-0.01,0.01,-4023.5524012644837
125,-0.005,0.01,0.0024,0.01,-0.01,-0.01,-4033.0110199040637
126,-0.005,0.01,0.0024,-0.01,0.0,-0.01,-3896.5200665405437
127,-0.005,0.01,0.0024,-0.01,0.0,0.0,-3767.100284917264
128,-0.005,0.01,0.0024,-0.01,0.0,0.01,-3896.5707534603234
129,-0.005,0.01,0.0024,-0.01,0.01,0.0,-3905.2521887282887
130,-0.005,0.01,0.0024,-0.01,0.01,0.01,-4023.568766602449
131,-0.005,0.01,0.0024,-0.01,0.01,-0.01,-4033.020291784225
132,-0.005,0.01,0.0024,-0.01,-0.01,0.0,-3905.227316945124
133,-0.005,0.01,0.0024,-0.01,-0.01,0.01,-4033.051663841344
134,-0.005,0.01,0.0024,-0.01,-0.01,-0.01,-4023.4778061920997
135,-0.005,0.01,-0.0024,0.0,-0.01,0.0,-3911.3091370116003
136,-0.005,0.01,-0.0024,0.0,-0.01,0.01,-4045.1293049715614
137,-0.005,0.01,-0.0024,0.0,-0.01,-0.01,-4045.023854652004
138,-0.005,0.01,-0.0024,0.0,0.0,-0.01,-3919.638327210225
139,-0.005,0.01,-0.0024,0.0,0.0,0.0,-3785.964773677636
140,-0.005,0.01,-0.0024,0.0,0.0,0.01,-3919.787583754849
141,-0.005,0.01,-0.0024,0.0,0.01,0.0,-3911.335654211584
142,-0.005,0.01,-0.0024,0.0,0.01,0.01,-4045.145968537444
143,-0.005,0.01,-0.0024,0.0,0.01,-0.01,-4045.0360659576036
144,-0.005,0.01,-0.0024,0.01,0.0,-0.01,-3905.177448633561
145,-0.005,0.01,-0.0024,0.01,0.0,0.0,-3768.153951154681
146,-0.005,0.01,-0.0024,0.01,0.0,0.01,-3905.3291792726886
147,-0.005,0.01,-0.0024,0.01,0.01,0.0,-3896.494348672836
148,-0.005,0.01,-0.0024,0.01,0.01,0.01,-4033.1141542944165
149,-0.005,0.01,-0.0024,0.01,0.01,-0.01,-4023.4665155016014
150,-0.005,0.01,-0.0024,0.01,-0.01,0.0,-3896.5296795517215
151,-0.005,0.01,-0.0024,0.01,-0.01,0.01,-4023.58056489
152,-0.005,0.01,-0.0024,0.01,-0.01,-0.01,-4032.9699951375605
153,-0.005,0.01,-0.0024,-0.01,0.0,-0.01,-3905.184322692676
154,-0.005,0.01,-0.0024,-0.01,0.0,0.0,-3768.1722439936
155,-0.005,0.01,-0.0024,-0.01,0.0,0.01,-3905.332928831569
156,-0.005,0.01,-0.0024,-0.01,0.01,0.0,-3896.542039154944
157,-0.005,0.01,-0.0024,-0.01,0.01,0.01,-4023.6120270747037
158,-0.005,0.01,-0.0024,-0.01,0.01,-0.01,-4032.9793939820493
159,-0.005,0.01,-0.0024,-0.01,-0.01,0.0,-3896.4821139888636
160,-0.005,0.01,-0.0024,-0.01,-0.01,0.01,-4033.0957373422807
161,-0.005,0.01,-0.0024,-0.01,-0.01,-0.01,-4023.4431730006886
162,-0.005,-0.01,0.0,-0.01,0.0,-0.01,2128.340788995136
163,-0.005,-0.01,0.0,-0.01,0.0,0.0,2182.619083183081
164,-0.005,-0.01,0.0,-0.01,0.0,0.01,2128.307295883561
165,-0.005,-0.01,0.0,-0.01,0.01,0.0,2128.319013829264
166,-0.005,-0.01,0.0,-0.01,0.01,0.01,2129.233574417161
167,-0.005,-0.01,0.0,-0.01,0.01,-0.01,2033.1163965684639
168,-0.005,-0.01,0.0,-0.01,-0.01,0.0,2128.207833045009
169,-0.005,-0.01,0.0,-0.01,-0.01,0.01,2032.9628226153209
170,-0.005,-0.01,0.0,-0.01,-0.01,-0.01,2129.060447078049
171,-0.005,-0.01,0.0,0.0,-0.01,0.0,2869.152767767729
172,-0.005,-0.01,0.0,0.0,-0.01,0.01,2833.422786309025
173,-0.005,-0.01,0.0,0.0,-0.01,-0.01,2832.679532663929
174,-0.005,-0.01,0.0,0.0,0.0,-0.01,2874.1253821569
175,-0.005,-0.01,0.0,0.0,0.0,0.0,2989.8448769166757
176,-0.005,-0.01,0.0,0.0,0.0,0.01,2874.172667138721
177,-0.005,-0.01,0.0,0.0,0.01,0.0,2869.322141130916
178,-0.005,-0.01,0.0,0.0,0.01,0.01,2832.841652006916
179,-0.005,-0.01,0.0,0.0,0.01,-0.01,2833.5244563396
180,-0.005,-0.01,0.0,0.01,0.0,-0.01,2128.283767822276
181,-0.005,-0.01,0.0,0.01,0.0,0.0,2181.558888679921
182,-0.005,-0.01,0.0,0.01,0.0,0.01,2128.251197818729
183,-0.005,-0.01,0.0,0.01,0.01,0.0,2128.2560879166763
184,-0.005,-0.01,0.0,0.01,0.01,0.01,2032.4201749816411
185,-0.005,-0.01,0.0,0.01,0.01,-0.01,2128.3178143530254
186,-0.005,-0.01,0.0,0.01,-0.01,0.0,2128.1965767291613
187,-0.005,-0.01,0.0,0.01,-0.01,0.01,2128.238557402896
188,-0.005,-0.01,0.0,0.01,-0.01,-0.01,2032.2957495420808
189,-0.005,-0.01,0.0024,0.0,-0.01,0.0,-15.428531958889
190,-0.005,-0.01,0.0024,0.0,-0.01,0.01,23.804923982841
191,-0.005,-0.01,0.0024,0.0,-0.01,-0.01,23.618598850609
192,-0.005,-0.01,0.0024,0.0,0.0,-0.01,136.259839495521
193,-0.005,-0.01,0.0024,0.0,0.0,0.0,118.59554126496398
194,-0.005,-0.01,0.0024,0.0,0.0,0.01,136.244198072161
195,-0.005,-0.01,0.0024,0.0,0.01,0.0,-15.252164781604
196,-0.005,-0.01,0.0024,0.0,0.01,0.01,23.657124371880997
197,-0.005,-0.01,0.0024,0.0,0.01,-0.01,23.857119140625002
198,-0.005,-0.01,0.0024,0.01,0.0,-0.01,-64.443389296896
199,-0.005,-0.01,0.0024,0.01,0.0,0.0,-71.64584728576901
200,-0.005,-0.01,0.0024,0.01,0.0,0.01,-64.45623419929599
201,-0.005,-0.01,0.0024,0.01,0.01,0.0,-192.15390731768102
202,-0.005,-0.01,0.0024,0.01,0.01,0.01,-188.362257087169
203,-0.005,-0.01,0.0024,0.01,0.01,-0.01,-164.02514027290002
204,-0.005,-0.01,0.0024,0.01,-0.01,0.0,-192.312298964241
205,-0.005,-0.01,0.0024,0.01,-0.01,0.01,-164.20231208102498
206,-0.005,-0.01,0.0024,0.01,-0.01,-0.01,-188.50617236002503
207,-0.005,-0.01,0.0024,-0.01,0.0,-0.01,-64.539018169924
208,-0.005,-0.01,0.0024,-0.01,0.0,0.0,-71.75697696060098
209,-0.005,-0.01,0.0024,-0.01,0.0,0.01,-64.528848010225
210,-0.005,-0.01,0.0024,-0.01,0.01,0.0,-192.16255727744098
211,-0.005,-0.01,0.0024,-0.01,0.01,0.01,-164.017379183329
212,-0.005,-0.01,0.0024,-0.01,0.01,-0.01,-188.40554668809997
213,-0.005,-0.01,0.0024,-0.01,-0.01,0.0,-192.329800363204
214,-0.005,-0.01,0.0024,-0.01,-0.01,0.01,-188.56691768908897
215,-0.005,-0.01,0.0024,-0.01,-0.01,-0.01,-164.191266473796
216,-0.005,-0.01,-0.0024,0.0,-0.01,0.0,139.51382369040903
217,-0.005,-0.01,-0.0024,0.0,-0.01,0.01,23.795615705625
218,-0.005,-0.01,-0.0024,0.0,-0.01,-0.01,23.686988157183997
219,-0.005,-0.01,-0.0024,0.0,0.0,-0.01,-11.843763941529
220,-0.005,-0.01,-0.0024,0.0,0.0,0.0,118.25011775836902
221,-0.005,-0.01,-0.0024,0.0,0.0,0.01,-11.898043017316
222,-0.005,-0.01,-0.0024,0.0,0.01,0.0,139.49849265870398
223,-0.005,-0.01,-0.0024,0.0,0.01,0.01,23.796386447716003
224,-0.005,-0.01,-0.0024,0.0,0.01,-0.01,23.666463902761
225,-0.005,-0.01,-0.0024,0.01,0.0,-0.01,-191.18576307603598
226,-0.005,-0.01,-0.0024,0.01,0.0,0.0,-74.19265788225601
227,-0.005,-0.01,-0.0024,0.01,0.0,0.01,-191.223153095716
228,-0.005,-0.01,-0.0024,0.01,0.01,0.0,-63.217892137023995
229,-0.005,-0.01,-0.0024,0.01,0.01,0.01,-187.444411989156
230,-0.005,-0.01,-0.0024,0.01,0.01,-0.01,-163.0284634276
231,-0.005,-0.01,-0.0024,0.01,-0.01,0.0,-63.304062268225
232,-0.005,-0.01,-0.0024,0.01,-0.01,0.01,-163.09642318824098
233,-0.005,-0.01,-0.0024,0.01,-0.01,-0.01,-187.413553668649
234,-0.005,-0.01,-0.0024,-0.01,0.0,-0.01,-191.097474087601
235,-0.005,-0.01,-0.0024,-0.01,0.0,0.0,-74.148838784784
236,-0.005,-0.01,-0.0024,-0.01,0.0,0.01,-191.15694870630398
237,-0.005,-0.01,-0.0024,-0.01,0.01,0.0,-63.265081984225006
238,-0.005,-0.01,-0.0024,-0.01,0.01,0.01,-163.001855459524
