,order parameter model prediction with depth 6,order parameter model dft value with depth 6,strain model prediction with depth 6,strain model dft value with depth 6,structure metric model prediction with depth 6,order parameter model prediction with depth 10,order parameter model dft value with depth 10,strain model prediction with depth 10,strain model dft value with depth 10,structure metric model prediction with depth 10
90,7578.111048555946,7619.800560177962,6713.397474722463,6966.6858355556,-163.0284634276,7620.930328243599,7619.800560177962,6663.7893015053,6966.6858355556,-163.0284634276
91,4553.617164364443,4343.49710057537,4267.281863645915,4873.0746305229,-4576.5614664829,4428.67801046224,4343.49710057537,4831.5037223424,4873.0746305229,-4576.5614664829
92,-3887.7897504717826,-3843.3025316406247,-8410.618478982313,-8388.6322971335,2032.2957495421,-3896.4821139888636,-3843.3025316406247,-8394.9306218133,-8388.6322971335,2032.2957495421
93,4607.195338099019,4403.232338204735,-8905.680604446172,-9073.7367799949,-164.0173791833,4343.922726867363,4403.232338204735,-8918.7264209021,-9073.7367799949,-164.0173791833
94,-3805.7042115391027,-3905.177448633561,-8047.336544931688,-7550.2406918786,9897.0013925383,-3843.260623557369,-3905.177448633561,-7700.85771103,-7550.2406918786,9897.0013925383
95,6775.893446149292,6663.789301505296,-13149.330475600656,-13259.1033573124,867.9698475236,6663.899831740368,6663.789301505296,-13274.6211183538,-13259.1033573124,867.9698475236
96,-11364.955674697634,-11387.983656534016,-11353.092971963359,-11268.9982480694,-7425.1191372952,-11400.215566891266,-11387.983656534016,-11260.05365956,-11268.9982480694,-7425.1191372952
97,-11243.467541717739,-11249.96389982741,-13199.43136896145,-13254.3527690025,4674.7755096289,-11255.90691751188,-11249.96389982741,-13147.7274053316,-13254.3527690025,4674.7755096289
98,-7245.613657340139,-7339.089836206143,4421.568205044845,4023.0506739155,-4032.9699951376,-7339.1006304396,-7339.089836206143,4183.7648755568,4023.0506739155,-4032.9699951376
99,-11229.761509563701,-11255.96717890445,2545.770547279595,2481.2432143022,-3987.8059259519,-11209.511601750362,-11255.96717890445,2460.4598043032,2481.2432143022,-3987.8059259519
100,-11400.245890100356,-11388.015884334609,2543.2529780421,2465.8831966756,-7144.2785140596,-11400.245890100356,-11388.015884334609,2451.9052624581,2465.8831966756,-7144.2785140596
101,9695.808507174379,9595.211999253408,14965.302054185877,14837.4414948674,-7482.6323348841,9773.946988014173,9595.211999253408,15031.8010899839,14837.4414948674,-7482.6323348841
102,2337.1218241895017,2869.322141130916,-13199.43136896145,-13272.7132175366,4586.4142102249,2931.985129536788,2869.322141130916,-13257.2053226438,-13272.7132175366,4586.4142102249
103,-4014.754671010393,-3905.2521887282887,4421.568205044845,4126.6276652019,4876.7991484509,-3918.1511760487692,-3905.2521887282887,4183.7648755568,4126.6276652019,4876.7991484509
104,-796.5183849496583,-979.964520228225,-11017.13513930758,-11110.1674360388,-11404.3454466769,-988.558992884164,-979.964520228225,-11025.26145155,-11110.1674360388,-11404.3454466769
105,-11235.5079249851,-11209.472639791209,-11034.952428994817,-11109.8370999169,-3432.0051478891,-11213.26539578785,-11209.472639791209,-11025.9845019773,-11109.8370999169,-3432.0051478891
106,-7365.90897082548,-7469.067675317823,-8077.335728984893,-8506.3924527712,-3412.2568478047,-7418.388785944762,-7469.067675317823,-8387.9776283254,-8506.3924527712,-3412.2568478047
107,-6933.08358755426,-6977.39454864,-13212.62203021838,-13137.2176117608,-162.91333959,-6969.7837951233605,-6977.39454864,-13259.1054299797,-13137.2176117608,-162.91333959
108,7578.111048555946,7388.3373217718445,2545.770547279595,2573.9598613873,-3096.5673518825,7503.231423228025,7388.3373217718445,2453.353840321,2573.9598613873,-3096.5673518825
109,-7112.456824279827,-7022.344971121488,4366.3724326465135,4181.76915556,-3113.1452968515,-7030.53187890329,-7022.344971121488,4126.68111216695,4181.76915556,-3113.1452968515
110,9695.808507174379,9951.674525286402,-8905.680604446172,-8924.8998335693,4582.4233455728,9595.0059027182,9951.674525286402,-8918.695444934,-8924.8998335693,4582.4233455728
111,-61.28300816259147,118.25011775836902,-8904.02507271138,-8923.8004059252,3248.3601495058,139.51382369040903,118.25011775836902,-8917.5380400021,-8923.8004059252,3248.3601495058
112,3076.7011573509863,3248.7024668121003,-13110.860536500275,-13028.1539558017,6149.8123053061,3248.6909533495214,3248.7024668121003,-13013.9883523192,-13028.1539558017,6149.8123053061
113,-61.28300816259147,-187.39030892736398,-7002.117013829668,-7179.5997760854,-3100.150372852,-191.097474087601,-187.39030892736398,-6834.3242704808,-7179.5997760854,-3100.150372852
114,-11373.906219651562,-11400.137837159184,-8077.335728984893,-7750.9236268489,1140.8565458586,-11404.282226415557,-11400.137837159184,-7700.8857925055,-7750.9236268489,1140.8565458586
115,-4002.3972102073863,-3975.1810666273686,-11268.544320533807,-11258.7134871972,-7198.742749614,-3987.265893329601,-3975.1810666273686,-11272.5783094152,-11258.7134871972,-7198.742749614
116,1069.2932488573322,868.095828733156,-10372.273022228366,-10413.3612167909,7619.904262796,922.980977882404,868.095828733156,-10384.2525913414,-10413.3612167909,7619.904262796
117,-4298.4811961181995,-3725.955702928449,4267.281863645915,4126.6578575086,-7338.8525364126,-3860.6332103920363,-3725.955702928449,4130.7311051437,4126.6578575086,-7338.8525364126
118,4553.617164364443,4402.835665853689,-10395.885322592661,-10412.3011911879,-7418.3887859448,4343.644993132225,4402.835665853689,-10413.8485936068,-10412.3011911879,-7418.3887859448
119,-11364.955674697634,-11404.380687777026,-8904.02507271138,-8917.5425727731,-6969.6664153828,-11400.215566891266,-11404.380687777026,-8917.5380400021,-8917.5425727731,-6969.6664153828
120,-796.5183849496583,-1085.6367986940088,-11367.888705158713,-11252.4512814152,2128.2560879167,-980.1122824950249,-1085.6367986940088,-11395.4371758446,-11252.4512814152,2128.2560879167
121,-11373.906219651562,-11356.0800433081,6713.397474722463,6664.2371423788,-11260.288171395,-11359.784754808681,-11356.0800433081,6966.3424578859,6664.2371423788,-11260.288171395
122,-57.9440425235441,23.618598850609,4267.281863645915,4997.196980631,-74.1488387848,4.188196011976,23.618598850609,4877.59207695805,4997.196980631,-74.1488387848
123,-3286.9699520417307,-3229.1400642235285,2545.770547279595,2593.2710901889,-15.2521647816,-3229.204163731569,-3229.1400642235285,2467.3409636969,2593.2710901889,-15.2521647816
124,-180.55510396169086,-11.898043017316,2539.2847533985223,2592.6514819034,-11250.011417377,-191.15694870630398,-11.898043017316,2584.59636672925,2592.6514819034,-11250.011417377
125,-7112.456824279827,-7166.570611360001,2539.2847533985223,2715.579145666,-11404.380687777,-7166.815268132024,-7166.570611360001,2707.3308081166,2715.579145666,-11404.380687777
126,-7319.410471544669,-7285.330751514202,-11350.849144663141,-11268.6335005924,-3843.33042916,-7296.738698902501,-7285.330751514202,-11258.9675089915,-11268.6335005924,-3843.33042916
127,-61.28300816259147,-63.15709775673599,-13212.62203021838,-13274.6370181033,-11064.5370127386,-74.148838784784,-63.15709775673599,-13151.4085919273,-13274.6370181033,-11064.5370127386
128,-3805.7042115391027,-3896.5118268261162,-11352.563423257614,-11271.1025613716,7027.8089185928,-3843.260623557369,-3896.5118268261162,-11258.8932333166,-11271.1025613716,7027.8089185928
129,-3805.7042115391027,-3858.816998868129,2543.2529780421,2697.9762465502,-7166.8621682117,-3919.638327210225,-3858.816998868129,2577.19909215585,2697.9762465502,-7166.8621682117
130,7634.937335823445,7712.200647786496,-9015.496975220733,-9070.363310787,-4045.0360659576,7705.803648247849,7712.200647786496,-9055.5828050023,-9070.363310787,-4045.0360659576
131,2337.1218241895017,2869.152767767729,14965.302054185877,14837.67683086,-6968.4753090312,2832.679532663929,2869.152767767729,15141.316035503,14837.67683086,-6968.4753090312
132,-3325.0768589591075,-3432.113645051536,-11353.66987108263,-11384.5908151656,9595.2119992534,-3432.062442613249,-3432.113645051536,-11396.8112957108,-11384.5908151656,9595.2119992534
133,-57.9440425235441,-64.539018169924,6713.397474722463,7881.6314727738,-3896.5200665405,-71.75697696060098,-64.539018169924,7030.087154801649,7881.6314727738,-3896.5200665405
134,-7015.549506386958,-6968.475309031237,4421.568205044845,4130.6424119655,-7167.7461872268,-6971.300136353343,-6968.475309031237,4126.6875360114,4130.6424119655,-7167.7461872268
135,6775.893446149292,6664.23714237884,2543.2529780421,2465.9257038157,7617.4751183099,7027.808918592783,6664.23714237884,2479.6660161,2465.9257038157,7617.4751183099
136,-7455.115710745316,-7476.127399018404,-10672.979482990662,-11025.418743976,-11249.9395046958,-7482.659323597955,-7476.127399018404,-10967.5122457439,-11025.418743976,-11249.9395046958
137,-4298.4811961181995,-3854.7160980496,-8047.336544931688,-8394.9604912163,-11209.4453241102,-3860.6332103920363,-3854.7160980496,-8507.1690479879,-8394.9604912163,-11209.4453241102
138,-11384.717792406054,-11404.257023792657,4366.3724326465135,4832.6718224912,-11215.3674645274,-11387.838311854224,-11404.257023792657,4915.372836444167,4832.6718224912,-11215.3674645274
139,-3944.1089598374742,-4032.9793939820493,-11255.833994431885,-11396.7771338647,-11404.2822264156,-3975.6966983718758,-4032.9793939820493,-11384.5534706869,-11396.7771338647,-11404.2822264156
140,-3944.1089598374742,-4045.0360659576036,-11255.833994431885,-11384.6354152232,4403.318469825,-3987.2340684134006,-4045.0360659576036,-11396.8670223321,-11384.6354152232,4403.318469825
141,-7015.549506386958,-6826.081419730609,4267.281863645915,4872.897879761,7909.7405201053,-6845.800369379904,-6826.081419730609,4832.065927642,4872.897879761,7909.7405201053
142,922.6312781885049,922.7773175625,-11044.8030355993,-11025.1444804733,-11209.4726397912,867.904798130176,922.7773175625,-11108.8756326198,-11025.1444804733,-11209.4726397912
143,-4298.4811961181995,-4582.18912871316,-11034.952428994817,-11025.8752973722,-979.9941970099,-4685.57787054096,-4582.18912871316,-10966.9450576515,-11025.8752973722,-979.9941970099
144,-7462.23517496584,-7469.093256775057,-13264.318114452524,-13138.4598677806,2728.9795694125,-7418.373282540442,-7469.093256775057,-13257.2532209013,-13138.4598677806,2728.9795694125
145,-6933.08358755426,-6829.871234011224,2545.770547279595,2593.2862656138,4876.82554577,-6845.4952300500645,-6829.871234011224,2583.8302784919,2593.2862656138,4876.82554577
146,-11229.761509563701,-11215.367464527424,14965.302054185877,14838.7512145346,2874.1726671387,-11209.511601750362,-11215.367464527424,15113.3805735201,14838.7512145346,2874.1726671387
147,7578.111048555946,7712.891448578762,-13263.3885743733,-13257.0236324442,2833.422786309,7712.611822461529,7712.891448578762,-13272.5705913294,-13257.0236324442,2833.422786309
148,7488.060144156644,7619.304927276899,4267.281863645915,4832.1817370988,-4045.1459685374,7617.4126272840995,7619.304927276899,4831.5037223424,4832.1817370988,-4045.1459685374
149,-3325.0768589591075,-3230.3699992863358,-8047.336544931688,-8388.9131128201,-63.2650819842,-3245.331034389249,-3230.3699992863358,-8395.0096017612,-8388.9131128201,-63.2650819842
150,-3805.7042115391027,-3768.1169973001,-7002.117013829668,-6923.9796548861,1335.471610251,-3784.909358294689,-3768.1169973001,-7179.6287546361,-6923.9796548861,1335.471610251
151,4607.195338099019,4455.078175162384,-10372.273022228366,-10413.517755756,1056.9565381134,4343.922726867363,4455.078175162384,-10379.9066728579,-10413.517755756,1056.9565381134
152,-3286.9699520417307,-3430.9617411457443,-11325.32167914915,-11383.5522347004,-11400.2458901004,-3431.0362482023043,-3430.9617411457443,-11395.8014077522,-11383.5522347004,-11400.2458901004
153,-3944.1089598374742,-3987.2809218064,4421.568205044845,4022.9135447794,23.7956157056,-3965.7245500520007,-3987.2809218064,4126.5011156711,4022.9135447794,23.7956157056
154,4553.617164364443,4343.409842511601,-10395.885322592661,-10383.2417366652,922.9809778824,4402.643639856399,4343.409842511601,-10413.8485936068,-10383.2417366652,922.9809778824
155,4553.617164364443,4582.423345572802,4421.568205044845,4832.1935544684,7503.231423228,4585.1326406641465,4582.423345572802,4852.691618639,4832.1935544684,7503.231423228
156,-7319.410471544669,-7331.835508795044,-11268.544320533807,-11252.4604040882,-3412.4162044921,-7343.955755915689,-7331.835508795044,-11395.4777406576,-11252.4604040882,-3412.4162044921
157,-7319.410471544669,-7339.094633642256,4366.3724326465135,4831.7257366995,-7285.3802570047,-7339.125817015205,-7339.094633642256,4873.4983707189,4831.7257366995,-7285.3802570047
158,-3886.7089258698998,-3905.332928831569,4421.568205044845,4126.44355876,-3905.1843226927,-3843.3553510296015,-3905.332928831569,4183.8017443946,4126.44355876,-3905.1843226927
159,-3805.7042115391027,-3767.100284917264,-11034.952428994817,-11026.0042428675,-11209.4997437556,-3784.909358294689,-3767.100284917264,-11040.5688024403,-11026.0042428675,-11209.4997437556
160,-11258.083858353963,-11255.840078479934,-8904.02507271138,-9057.3062495542,136.2598394955,-11260.288171395025,-11255.840078479934,-9072.0239644919,-9057.3062495542,136.2598394955
161,-7245.613657340139,-7197.729391761489,-9019.088203026467,-9055.5171441514,2832.6795326639,-7211.173381402384,-7197.729391761489,-8917.5879005464,-9055.5171441514,2832.6795326639
162,-7365.90897082548,-7431.361161747649,-8939.63177462277,-9073.6241875583,2033.1163965685,-7482.395320705599,-7431.361161747649,-9055.4200807208,-9073.6241875583,2033.1163965685
163,9695.808507174379,9093.508239372544,-11201.930412839187,-11243.140446073,-926.7434317365,9595.679642851599,9093.508239372544,-11256.5267263684,-11243.140446073,-926.7434317365
164,-57.9440425235441,-188.56691768908897,-13149.330475600656,-13029.2819209744,-3432.0690040028,-192.329800363204,-188.56691768908897,-13015.7744323698,-13029.2819209744,-3432.0690040028
165,-7108.585359094201,-7168.0389532899835,6713.397474722463,6664.815455699,-11343.7502086038,-7145.519546880626,-7168.0389532899835,7027.2090294025,6664.815455699,-11343.7502086038
166,-796.5183849496583,-242.89955000522502,2545.770547279595,2478.3480846601,-3308.5869828211,-287.663241367044,-242.89955000522502,2467.3409636969,2478.3480846601,-3308.5869828211
167,4607.195338099019,4455.015166810001,4366.3724326465135,4126.9434693467,139.4984926587,4403.1681050023835,4455.015166810001,4023.5285510641,4126.9434693467,139.4984926587
168,7578.111048555946,7444.1436648614,-8091.970522235619,-7548.8444000554,7712.8812611061,7503.231423228025,7444.1436648614,-7695.5677236282,-7548.8444000554,7712.8812611061
169,-7462.23517496584,-7425.11913729516,-13149.330475600656,-13274.5842494059,4674.7878166564,-7431.350299878401,-7425.11913729516,-13259.0407167765,-13274.5842494059,4674.7878166564
170,-7245.613657340139,-7352.604945118224,-13212.62203021838,-13274.6038360281,4674.6791051406,-7339.1006304396,-7352.604945118224,-13259.0870062759,-13274.6038360281,4674.6791051406
171,-3944.1089598374742,-4023.4665155016014,-13137.2231134111,-13257.0821231964,7712.1739507923,-3965.681475953649,-4023.4665155016014,-13137.2231134111,-13257.0821231964,7712.1739507923
172,-11093.293248815558,-11108.991782236804,4267.281863645915,4182.6292655625,7502.7758026592,-11122.47368773332,-11108.991782236804,4126.58089950555,4182.6292655625,7502.7758026592
173,-7365.90897082548,-7425.120343663045,-10372.273022228366,-10384.2130529557,-3229.178592043,-7482.395320705599,-7425.120343663045,-10262.6495360297,-10384.2130529557,-3229.178592043
174,7578.111048555946,7888.340652301562,-10672.979482990662,-10414.2620972853,868.0958287332,7703.366203716308,7888.340652301562,-10378.7603301924,-10414.2620972853,868.0958287332
175,1069.2932488573322,1351.8380995572008,-11255.833994431885,-11244.4845691202,-4576.6185635041,1140.2793773285289,1351.8380995572008,-11258.4936343904,-11244.4845691202,-4576.6185635041
176,-57.9440425235441,-164.20231208102498,-11281.245178261268,-11243.3567558124,7502.9966816256,-192.312298964241,-164.20231208102498,-11257.3922805379,-11243.3567558124,7502.9966816256
177,-7365.90897082548,-7475.907780542223,-8904.02507271138,-8917.544461428,6665.148707491,-7482.612958401604,-7475.907780542223,-8919.0745264859,-8917.544461428,6665.148707491
178,945.7144751209228,1057.1982377222248,-9013.858392060238,-9057.1939494427,868.8218424147,1062.657247283776,1057.1982377222248,-9075.3394404598,-9057.1939494427,868.8218424147
179,-4298.4811961181995,-3904.5399371971234,-13182.509616305266,-13254.7808166893,-3430.955063666,-3860.6332103920363,-3904.5399371971234,-13273.1364923918,-13254.7808166893,-3430.955063666
180,-4014.1896913991586,-4045.023854652004,-13272.892597358848,-13150.7290094504,-6968.522390361,-4023.4431730006886,-4045.023854652004,-13272.6095312033,-13150.7290094504,-6968.522390361
181,-4002.3972102073863,-4045.251038834944,2539.2847533985223,2592.576021849,-3293.2553734197,-4033.051663841344,-4045.251038834944,2573.2572405621,2592.576021849,-3293.2553734197
182,-3286.9699520417307,-3411.342020823025,-11044.488452199066,-11025.7144315736,7443.5131479852,-3431.0362482023043,-3411.342020823025,-11025.5766675405,-11025.7144315736,7443.5131479852
